replicate,t,V_no_drug,V_Camostat,V_AmphoB,V_tot_no_drug,V_tot_Camostat,V_tot_AmphoB
1,-1,140000,140000,140000,NA,NA,NA
1,18,5000,0,3000,10400000,5310000,9130000
1,24,40000,0,130000,43900000,1460000,115000000
1,48,50000000,0,50000000,2250000000,823000,6640000000
1,72,36000000,0,49000000,30700000000,577000,45400000000
2,18,3000,10,6000,7180000,10400000,6450000
2,24,50000,0,70000,151000000,1780000,80800000
2,48,42000000,0,22000000,16000000000,1190000,3820000000
2,72,32000000,0,38000000,99200000000,868000,76700000000
3,18,2000,10,2000,5370000,12500000,9460000
3,24,20000,0,100000,46600000,2260000,21700000
3,48,20000000,0,15000000,14300000000,1330000,18800000000
3,72,19000000,0,32000000,79400000000,208000,106000000000
1,0,NA,NA,NA,66000000,6890000,8840000
2,0,NA,NA,NA,7020000,9980000,12200000
3,0,NA,NA,NA,8950000,6430000,6190000
