t,replicate,V,V_Camostat,V_AmphoB,V_tot,V_tot_Camostat,V_tot_AmphoB,V_Camostat_AmphoB,V_tot_Camostat_AmphoB
24,1,1550,0,25000,1600000,42400,21600000,0,243000
24,2,750,0,25000,666000,23600,29300000,0,259000
24,3,2000,0,60000,1620000,35900,30400000,0,122000
48,1,3000000,0,10000000,2510000000,69200,15800000000,50,1320000
48,2,1600000,0,20000000,2240000000,89400,11900000000,100,1090000
48,3,2500000,0,15000000,3670000000,137000,19900000000,50,394000
72,1,20000000,0,15000000,39600000000,54000,78500000000,700,4230000
72,2,15000000,0,10000000,34300000000,62300,69500000000,250,2200000
72,3,35000000,0,20000000,62300000000,128000,102000000000,200,703000
-1,1,950,950,950,26500000,26500000,26500000,950,26500000
-1,2,950,950,950,26500000,26500000,26500000,950,26500000
-1,3,950,950,950,26500000,26500000,26500000,950,26500000
0,1,NA,NA,NA,13400,8830,11000,NA,15600
0,2,NA,NA,NA,6300,NA,9440,NA,10700
0,3,NA,NA,NA,131000,19900,10000,NA,42900
18,1,400,0,4000,518000,27500,3520000,100,89900
18,2,150,0,4500,214000,23700,5800000,100,121000
18,3,600,0,6000,484000,49000,4610000,0,51300
